src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,Label
192.168.1.50,8.8.8.8,59660,443,6,2026-04-26 20:52:25,11.219177,529.5397336186068,1.336996465961808,0.8021978795770849,0.5347985863847232,9,6,1080,4861,235,54,120.0,75.17830656364758,1624,54,810.1666666666666,574.1777937963893,1624,54,396.06666666666666,499.5821542938548,249582.3288888889,180,120,20,4,0.801369785714286,7.293699,0.0,1.8628416579666736,11.219177,7.332234,0.0,1.402397125,2.3149214152932616,11.128488,7.440778,0.338063,2.2256976,2.6578980817703752,4,4,0,0,2,3,0,8,13,0,0,0.6666666666666666,396.06666666666666,8192,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.0,810.1666666666666,0,9,6,1080,4861,Benign
192.168.1.50,8.8.8.8,7667,443,6,2026-04-26 20:52:27,11.84237,1332.16577424958,2.7866043705778485,1.51996602031519,1.2666383502626586,18,15,2841,12935,233,54,157.83333333333334,68.22694970952949,1429,54,862.3333333333334,409.60056423572246,1429,54,478.06060606060606,449.28157732188936,201853.93572084483,360,300,20,13,0.3700740625,2.82303,0.0,0.6300698367534813,11.84237,2.925928,0.0,0.69661,0.7926383838315294,11.755725,2.890835,0.13762,0.8396946428571429,0.793191701659604,13,13,0,0,2,3,0,26,31,0,0,0.8333333333333334,478.06060606060606,8192,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.83333333333334,862.3333333333334,0,18,15,2841,12935,Benign
192.168.1.50,8.8.8.8,15164,443,6,2026-04-26 20:52:28,12.427445,948.1434035716916,2.172610701556112,1.2070059453089512,0.965604756247161,15,12,2437,9346,248,54,162.46666666666667,79.64242308942865,1357,54,778.8333333333334,437.4493938985654,1357,54,436.4074074074074,427.057395679304,182378.0192043896,300,240,20,10,0.4779786538461538,3.553011,0.0,0.9497435224500164,12.427445,3.660622,0.0,0.8876746428571428,1.2071030818087698,12.348146,3.593794,0.112174,1.122558727272727,1.2444186514888345,10,10,0,0,2,3,0,20,25,0,0,0.8,436.4074074074074,8192,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.46666666666667,778.8333333333334,0,15,12,2437,9346,Benign
192.168.1.50,8.8.8.8,30106,443,6,2026-04-26 20:52:30,11.941347,883.9873759635324,2.093566161338415,1.1723970503495125,0.9211691109889026,14,11,1959,8597,214,54,139.92857142857142,66.19717763266507,1437,54,781.5454545454545,456.09296573004696,1437,54,422.24,442.06237387952393,195419.1424,280,220,20,9,0.497556125,5.721637,0.0,1.1677384644875295,11.941347,5.778291,0.0,0.918565153846154,1.4899949687842189,11.879946,5.734307,0.132676,1.1879946,1.6134149557212614,9,9,0,0,2,3,0,18,23,0,0,0.7857142857142857,422.24,8192,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.92857142857142,781.5454545454545,0,14,11,1959,8597,Benign
192.168.1.50,8.8.8.8,4136,443,6,2026-04-26 20:52:31,10.560767,1054.7529360320136,2.3672523027920227,1.325661289563533,1.04159101322849,14,11,2041,9098,228,54,145.78571428571428,70.13882007585138,1407,54,827.0909090909091,454.1722649843248,1407,54,445.56,455.9472846722524,207887.9264,280,220,20,9,0.4400319583333332,3.114068,0.0,0.7558614385508805,10.560767,3.239773,0.0,0.8123666923076923,0.9609758967241728,10.494071,3.205165,0.158714,1.0494071,0.9510442025064294,9,9,0,0,2,3,0,18,23,0,0,0.7857142857142857,445.56,8192,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.78571428571428,827.0909090909091,0,14,11,2041,9098,Benign
192.168.1.50,8.8.8.8,50708,443,6,2026-04-26 20:52:33,10.258328,874.2165389915393,2.047117230020331,1.169781274297332,0.8773359557229988,12,9,1762,7206,250,54,146.83333333333334,82.22209084073587,1343,54,800.6666666666666,428.0745002657573,1343,54,427.04761904761904,432.540499198297,187091.283446712,240,180,20,7,0.5129164000000002,4.550519,0.0,1.0435541256571892,10.258328,4.614189,0.0,0.9325752727272726,1.3177846120160834,10.194266,4.640953,0.17986,1.27428325,1.4078502900377716,7,7,0,0,2,3,0,14,19,0,0,0.75,427.04761904761904,8192,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.83333333333334,800.6666666666666,0,12,9,1762,7206,Benign
192.168.1.50,8.8.8.8,39346,443,6,2026-04-26 20:52:34,11.089153,1635.7426036055233,3.156237451138063,1.7133860449035196,1.442851406234543,19,16,2917,15222,259,54,153.52631578947367,69.52119587507308,1497,54,951.375,406.5988310054519,1497,54,518.2571428571429,485.97450508420366,236171.2195918367,380,320,20,14,0.3261515588235294,1.727344,0.0,0.4414586570401776,11.089153,1.867504,0.0,0.6160640555555555,0.5163101611978632,11.033864,1.762396,0.065184,0.7355909333333334,0.479631593163123,14,14,0,0,2,3,0,28,33,0,0,0.8421052631578947,518.2571428571429,8192,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.52631578947367,951.375,0,19,16,2917,15222,Benign
192.168.1.50,8.8.8.8,16911,443,6,2026-04-26 20:52:36,10.761709,1593.705981085346,3.438115637581354,1.8584408851791103,1.579674752402244,20,17,3535,13616,275,54,176.75,76.26393315322781,1256,54,800.9411764705883,380.8670403462937,1256,54,463.5405405405405,408.113033798805,166556.24835646455,400,340,20,15,0.2989363611111111,2.126919,0.0,0.4407766393685854,10.761709,2.148552,0.0,0.5664057368421053,0.5161495833252464,10.717939,2.25668,0.092599,0.6698711875000001,0.5220695035406228,15,15,0,0,2,3,0,30,35,0,0,0.85,463.5405405405405,8192,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.75,800.9411764705883,0,20,17,3535,13616,Benign
192.168.1.50,8.8.8.8,64943,443,6,2026-04-26 20:52:37,10.28592,1589.5515423024872,3.0138286123166425,1.65274472288332,1.3610838894333224,17,14,2559,13791,257,54,150.52941176470588,68.43555804942582,1736,54,985.0714285714286,493.60242304998496,1736,54,527.4193548387096,533.9337746897291,285085.2757544224,340,280,20,12,0.342864,2.175251,0.0,0.4900221071138866,10.28592,2.269757,0.0,0.64287,0.5994393296153915,10.197609,2.291111,0.186214,0.7844314615384617,0.5889267224170287,12,12,0,0,2,3,0,24,29,0,0,0.8235294117647058,527.4193548387096,8192,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.52941176470588,985.0714285714286,0,17,14,2559,13791,Benign
192.168.1.50,8.8.8.8,41809,443,6,2026-04-26 20:52:39,11.019088,867.3131569509201,1.9057838543443888,1.0890193453396506,0.816764509004738,12,9,1629,7928,248,54,135.75,71.84140519227057,1382,54,880.8888888888889,467.73602347298527,1382,54,455.0952380952381,482.37536310398895,232685.9909297052,240,180,20,7,0.5509544,2.784271,0.0,0.880797578399396,11.019088,2.813433,0.0,1.0017352727272728,1.0481244071438094,10.967571,2.900082,0.247443,1.370946375,0.9996869682345492,7,7,0,0,2,3,0,14,19,0,0,0.75,455.0952380952381,8192,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.75,880.8888888888889,0,12,9,1629,7928,Benign
